Feature,Importance
Provider_0,45
Provider_1,383
Provider_2,670
Provider_3,729
Provider_4,807
Provider_5,935
Provider_6,889
Provider_7,871
Provider_8,939
Provider_9,901
Provider_10,1010
Provider_11,971
Factory,3860
Purchasing_Organization_0,106
Purchasing_Organization_1,392
Purchasing_Organization_2,438
Purchasing_Organization_3,322
Purchasing_Organization_4,314
Purchasing_Group,14262
Company_Code_0,3
Company_Code_1,276
Company_Code_2,425
Company_Code_3,591
Company_Code_4,364
Delivery_Option_0,521
Delivery_Option_1,512
Duration,13422
ETC_Delivery,14570
Sum,26449
Position_Count,13004
Handlers_7,5775
Handlers_15,3262
Handlers_30,3562
Order_Approval_1,2373
Order_Approval_2,1205
Order_Approval_3,1153
Change_Delivery_Date_7,4539
Change_Delivery_Date_15,656
Change_Delivery_Date_30,655
Approval_Cycles,741
Changes_After_Approvals,14387
day_sin,5472
day_cos,3915
month1_sin,3607
month1_cos,3544
month2_sin,5004
month2_cos,4864
month3_sin,3493
month3_cos,3766
Provider_Purchaser_0,262
Provider_Purchaser_1,685
Provider_Purchaser_2,727
Provider_Purchaser_3,692
Provider_Purchaser_4,834
Provider_Purchaser_5,948
Provider_Purchaser_6,943
Provider_Purchaser_7,930
Provider_Purchaser_8,1012
Provider_Purchaser_9,1043
Provider_Purchaser_10,921
Provider_Purchaser_11,1014
Provider_Delivery_option_0,328
Provider_Delivery_option_1,608
Provider_Delivery_option_2,783
Provider_Delivery_option_3,793
Provider_Delivery_option_4,787
Provider_Delivery_option_5,817
Provider_Delivery_option_6,854
Provider_Delivery_option_7,868
Provider_Delivery_option_8,914
Provider_Delivery_option_9,907
Provider_Delivery_option_10,918
Provider_Delivery_option_11,958
