iter	Passed	Remaining
0	412	82015
1	843	83488
2	1214	79743
3	1544	75662
4	1875	73156
5	2208	71421
6	2607	71881
7	2953	70874
8	3327	70623
9	3705	70407
10	4046	69530
11	4421	69273
12	4829	69467
13	5259	69873
14	5670	69938
15	6020	69241
16	6374	68615
17	6749	68242
18	7114	67773
19	7570	68133
20	8023	68390
21	8441	68296
22	8876	68309
23	9354	68598
24	9788	68518
25	10278	68784
26	10648	68227
27	11015	67665
28	11392	67174
29	11799	66863
30	12237	66711
31	12663	66484
32	13051	66045
33	13471	65774
34	13841	65251
35	14181	64606
36	14550	64102
37	14916	63592
38	15264	63014
39	15632	62528
40	15999	62046
41	16359	61544
42	16714	61026
43	17073	60532
44	17455	60123
45	17832	59699
46	18226	59333
47	18661	59095
48	19046	58694
49	19471	58414
50	19904	58152
51	20259	57661
52	20639	57245
53	21047	56906
54	21454	56561
55	21844	56172
56	22239	55793
57	22600	55331
58	23061	55112
59	23454	54726
60	23835	54313
61	23996	53412
62	24404	53070
63	24751	52597
64	25148	52231
65	25527	51827
66	25916	51445
67	26319	51090
68	26699	50690
69	27062	50258
70	27434	49845
71	27802	49426
72	28168	49005
73	28532	48582
74	28896	48160
75	29285	47782
76	29663	47384
77	30051	47004
78	30492	46703
79	30993	46490
80	31399	46130
81	31848	45831
82	32243	45451
83	32667	45112
84	33037	44698
85	33399	44273
86	33693	43763
87	34025	43305
88	34363	42857
89	34713	42428
90	35040	41972
91	35381	41534
92	35703	41078
93	36052	40654
94	36426	40260
95	36751	39813
96	37077	39370
97	37412	38939
98	37724	38486
99	38086	38086
100	38445	37684
101	38763	37243
102	39129	36850
103	39460	36424
104	39764	35977
105	40097	35557
106	40438	35147
107	40779	34738
108	41112	34323
109	41439	33905
110	41776	33496
111	42107	33084
112	42469	32697
113	42798	32286
114	43128	31877
115	43461	31472
116	43765	31047
117	44068	30624
118	44412	30230
119	44783	29855
120	45097	29443
121	45423	29041
122	45770	28653
123	46202	28317
124	46675	28005
125	47149	27691
126	47673	27402
127	48204	27114
128	48630	26765
129	48960	26363
130	49248	25940
131	49569	25535
132	49911	25143
133	50249	24749
134	50561	24344
135	50885	23945
136	51156	23524
137	51422	23102
138	51723	22698
139	52057	22310
140	52374	21915
141	52712	21530
142	53001	21126
143	53303	20729
144	53583	20324
145	53891	19932
146	54291	19574
147	54670	19208
148	55042	18839
149	55334	18444
150	55621	18049
151	55962	17672
152	56310	17297
153	56703	16937
154	57033	16558
155	57365	16179
156	57668	15794
157	57983	15413
158	58275	15026
159	58600	14650
160	58947	14279
161	59341	13919
162	59710	13553
163	60023	13175
164	60350	12801
165	60696	12431
166	60997	12053
167	61299	11676
168	61577	11295
169	61859	10916
170	62181	10545
171	62504	10175
172	62791	9799
173	63103	9429
174	63394	9056
175	63704	8686
176	64035	8320
177	64390	7958
178	64697	7590
179	65005	7222
180	65279	6852
181	65636	6491
182	65966	6128
183	66310	5766
184	66624	5401
185	66909	5036
186	67233	4673
187	67562	4312
188	67900	3951
189	68250	3592
190	68554	3230
191	68872	2869
192	69194	2509
193	69504	2149
194	69821	1790
195	70144	1431
196	70461	1073
197	70755	714
198	71038	356
199	71330	0
