iter	F1	Logloss
0	0.6871077468	0.658399277
1	0.7143684342	0.6270080448
2	0.7434949666	0.601563004
3	0.7471246724	0.5842962968
4	0.7575011497	0.5634425015
5	0.7663333409	0.5449902053
6	0.7791574769	0.5300793126
7	0.7922113918	0.5150649314
8	0.7940076788	0.5057657512
9	0.8003385777	0.4953928055
10	0.8114898163	0.4848206771
11	0.8163030064	0.4756743642
12	0.8210107429	0.4668877603
13	0.8260357624	0.4591969983
14	0.8303133615	0.4518552676
15	0.8359712981	0.4422289973
16	0.839982493	0.4361855349
17	0.8477175791	0.4250438373
18	0.8489957431	0.4208141029
19	0.8530859248	0.4154815883
20	0.8556572174	0.411407019
21	0.8574961328	0.4073542106
22	0.8610522038	0.4000970007
23	0.8647843384	0.3959694031
24	0.8683549438	0.3904191889
25	0.8696558329	0.3875864356
26	0.8721381517	0.3844939925
27	0.8735897073	0.3810803614
28	0.875523426	0.3753998068
29	0.8761866932	0.3727017641
30	0.8775917778	0.3693889858
31	0.8782209128	0.3662738357
32	0.878918652	0.363628596
33	0.8801517364	0.3613855059
34	0.8804792638	0.358813501
35	0.8846511142	0.3529743122
36	0.8855429887	0.3504604266
37	0.8879209489	0.3457805379
38	0.8885368673	0.3430806705
39	0.8908644599	0.3385884756
40	0.8921067303	0.3353930397
41	0.893192882	0.3329187339
42	0.8953458252	0.3287414871
43	0.8964243953	0.3270936694
44	0.8988859072	0.3219833599
45	0.9004170995	0.319296085
46	0.9008247262	0.3181823568
47	0.906710881	0.308684377
48	0.9068881487	0.3068397421
49	0.9083203363	0.3038625465
50	0.9087714326	0.3018024421
51	0.9099917977	0.2996169307
52	0.9144840307	0.2915769121
53	0.9154419083	0.2893384175
54	0.9166074634	0.2869890231
55	0.9178660397	0.2837058
56	0.9185247455	0.2826570618
57	0.9196734203	0.2797474243
58	0.9200290237	0.2779567412
59	0.9200111105	0.2766502055
60	0.9209653984	0.2740425181
61	0.9213820888	0.2730123871
62	0.922444779	0.2704367779
63	0.9227602419	0.2689561321
64	0.9236139864	0.2676737677
65	0.9234989115	0.2667437236
66	0.9243407634	0.2646186968
67	0.9250945846	0.2632607322
68	0.9254488283	0.2619563817
69	0.9271660526	0.2581317479
70	0.928754476	0.2545016562
71	0.9292440618	0.2531156457
72	0.9300099364	0.2511167018
73	0.9305151793	0.2492508691
74	0.9319279912	0.2467094557
75	0.9334568227	0.2441212765
76	0.9336018778	0.2430532778
77	0.9337610899	0.241928962
78	0.9341677467	0.2409935339
79	0.9342641796	0.2402538192
80	0.9348901987	0.2385654982
81	0.9356797408	0.2363922189
82	0.9361668704	0.2351198564
83	0.9366096036	0.2339722703
84	0.9365500303	0.2333174369
85	0.9374283719	0.2312339721
86	0.9378764499	0.2301909783
87	0.938001512	0.2292665208
88	0.9388816039	0.2272460411
89	0.9393482397	0.226190252
90	0.9401848069	0.2243872918
91	0.9405660516	0.2231499136
92	0.9408207486	0.2222205677
93	0.9408271118	0.2215257716
94	0.9408721663	0.2207077761
95	0.9414175952	0.2193318577
96	0.9424515101	0.217062321
97	0.9427792208	0.2156327887
98	0.9427914475	0.2147884817
99	0.9429615302	0.2138330273
100	0.9434195779	0.2130388877
101	0.9434732336	0.2121694408
102	0.9444797421	0.209979041
103	0.9445087673	0.2095439346
104	0.9450170363	0.2085440797
105	0.9451658615	0.2080323594
106	0.9454468377	0.2071289194
107	0.9460773679	0.2055707812
