iter	Passed	Remaining
0	642	384821
1	1256	375802
2	1816	361406
3	2511	374214
4	3127	372208
5	3790	375304
6	4363	369650
7	4983	368771
8	5572	365902
9	6127	361533
10	6786	363381
11	7423	363752
12	8040	363080
13	8704	364345
14	9399	366595
15	10036	366315
16	10651	365267
17	11228	363043
18	11869	362946
19	12442	360819
20	13096	361082
21	13773	361875
22	14393	361080
23	15131	363165
24	15728	361747
25	16336	360658
26	16994	360655
27	17631	360179
28	18243	359211
29	18943	359918
30	19582	359436
31	20179	358181
32	20820	357739
33	21662	360612
34	22304	360053
35	22897	358730
36	23450	356831
37	24034	355451
38	24674	354936
39	25226	353165
40	25885	352928
41	26452	351444
42	27251	353006
43	28018	354048
44	28683	353758
45	29293	352795
46	29919	352037
47	30602	351927
48	31209	350950
49	31947	351425
50	32697	351976
51	33420	352203
52	34165	352609
53	34814	352015
54	35526	352035
55	36143	351107
56	36876	351299
57	37568	351067
58	38066	349049
59	38636	347726
60	39238	346715
61	39934	346526
62	40539	345550
63	41145	344592
64	41724	343422
65	42344	342603
66	42891	341212
67	43402	339560
68	43999	338602
69	44537	337215
70	45141	336338
71	45789	335786
72	46408	335033
73	46958	333786
74	47518	332632
75	48087	331549
76	48737	331032
77	49309	329995
78	49847	328742
79	50391	327545
80	50939	326389
81	51598	325950
82	52346	326060
83	52898	324947
84	53461	323914
85	54006	322784
86	54575	321808
87	55106	320617
88	55790	320324
89	56341	319269
90	57025	318969
91	57675	318470
92	58217	317377
93	58772	316370
94	59351	315497
95	59906	314509
96	60432	313376
97	61034	312648
98	61604	311754
99	62181	310906
100	62757	310058
101	63395	309518
102	64011	308870
103	64687	308509
104	65333	308002
105	65948	307344
106	66518	306481
107	67079	305583
108	67578	304415
109	68212	303857
110	68841	303272
111	69437	302548
112	70099	302108
113	70688	301354
114	71236	300431
115	71726	299271
116	72284	298403
117	72846	297559
118	73423	296780
119	73985	295942
120	74571	295204
121	75192	294607
122	75770	293841
123	76391	293246
124	77034	292732
125	77526	291646
126	78066	290752
127	78761	290433
128	79343	289695
129	79927	288969
130	80562	288425
131	81198	287885
132	81886	287524
133	82425	286645
134	83049	286060
135	83592	285198
136	84167	284449
137	84732	283670
138	85273	282812
139	85862	282118
140	86397	281252
141	86982	280550
142	87702	280279
143	88314	279661
144	88830	278744
145	89318	277744
146	89882	276985
147	90391	276060
148	90951	275296
149	91546	274640
150	92139	273977
151	92770	273428
152	93382	272823
153	94035	272336
154	94522	271371
155	95140	270783
156	95752	270181
157	96362	269571
158	97088	269282
159	97716	268719
160	98273	267962
161	98839	267233
162	99499	266755
163	100235	266479
164	100785	265707
165	101360	265002
166	101944	264323
167	102494	263557
168	103077	262877
169	103678	262246
170	104263	261572
171	104798	260777
172	105441	260250
173	106072	259694
174	106631	258961
175	107265	258413
176	107869	257790
177	108438	257083
178	109076	256544
179	109637	255819
180	110225	255163
181	110858	254608
182	111449	253957
183	112135	253522
184	112692	252797
185	113325	252240
186	113885	251522
187	114480	250883
188	115155	250418
189	115783	249849
190	116367	249185
191	117009	248645
192	117694	248194
193	118361	247704
194	118907	246961
195	119465	246246
