Feature                   ,Importance
Provider_0                ,        87
Provider_1                ,       491
Provider_2                ,       756
Provider_3                ,       848
Provider_4                ,       843
Provider_5                ,       861
Provider_6                ,       881
Provider_7                ,       954
Provider_8                ,       911
Provider_9                ,       862
Provider_10               ,       889
Provider_11               ,       949
Operations_Manager        ,      3830
Purchasing_Organization_0 ,        64
Purchasing_Organization_1 ,       217
Purchasing_Organization_2 ,       215
Purchasing_Organization_3 ,       289
Purchasing_Organization_4 ,       309
Purchasing_Group          ,      7172
Company_Code_0            ,        16
Company_Code_1            ,       385
Company_Code_2            ,       300
Company_Code_3            ,       345
Company_Code_4            ,       447
EI_0                      ,        49
EI_1                      ,       114
EI_2                      ,       383
EI_3                      ,       400
EI_4                      ,       340
Material_Group            ,      6546
Delivery_Option_0         ,       478
Delivery_Option_1         ,       468
NRP                       ,       735
Duration                  ,      7912
ETC_Delivery              ,      8259
Sum                       ,     12026
Position_Count            ,      6905
Handlers_7                ,      3377
Handlers_15               ,      1740
Handlers_30               ,      1918
Order_Approval_1          ,      1367
Order_Approval_2          ,       861
Order_Approval_3          ,       656
Change_Delivery_Date_7    ,      2182
Change_Delivery_Date_15   ,       306
Change_Delivery_Date_30   ,       339
Delivery_Date             ,      1016
Changes_After_Approvals   ,      8239
Days_Between_0_1          ,      5748
Days_Between_1_2          ,      1172
Days_Between_2_3          ,      1613
Days_Between_3_4          ,       999
Days_Between_4_5          ,       382
Days_Between_5_6          ,       525
Days_Between_6_7          ,       300
Days_Between_7_8          ,      1770
day_sin                   ,      3435
day_cos                   ,      2296
month1_sin                ,      2120
month1_cos                ,      2011
month2_sin                ,      2966
month2_cos                ,      2947
month3_sin                ,      1903
month3_cos                ,      2031
