Feature,Importance
Provider_0,39
Provider_1,309
Provider_2,527
Provider_3,676
Provider_4,709
Provider_5,701
Provider_6,733
Provider_7,753
Provider_8,719
Provider_9,775
Provider_10,773
Provider_11,735
Purchasing_Organization_0,138
Purchasing_Organization_1,234
Purchasing_Organization_2,224
Purchasing_Organization_3,425
Purchasing_Organization_4,402
Purchasing_Group,8934
Company_Code_0,14
Company_Code_1,170
Company_Code_2,501
Company_Code_3,359
Company_Code_4,398
Delivery_Option_0,466
Delivery_Option_1,429
Duration,8488
ETC_Delivery,9174
Sum,14416
Position_Count,7728
Handlers_7,3811
Handlers_15,1970
Handlers_30,1996
Order_Approval_1,1571
Order_Approval_2,931
Order_Approval_3,902
Change_Delivery_Date_7,3498
Changes_After_Approvals,8961
Days_Between_0_1,6640
day_sin,3624
day_cos,2399
month1_sin,2263
month1_cos,2195
month2_sin,3239
month2_cos,3186
month3_sin,2014
month3_cos,2292
Provider_Purchaser_0,194
Provider_Purchaser_1,452
Provider_Purchaser_2,524
Provider_Purchaser_3,588
Provider_Purchaser_4,637
Provider_Purchaser_5,667
Provider_Purchaser_6,733
Provider_Purchaser_7,704
Provider_Purchaser_8,772
Provider_Purchaser_9,782
Provider_Purchaser_10,807
Provider_Purchaser_11,763
Provider_Delivery_option_0,202
Provider_Delivery_option_1,449
Provider_Delivery_option_2,592
Provider_Delivery_option_3,642
Provider_Delivery_option_4,720
Provider_Delivery_option_5,675
Provider_Delivery_option_6,712
Provider_Delivery_option_7,774
Provider_Delivery_option_8,762
Provider_Delivery_option_9,789
Provider_Delivery_option_10,782
Provider_Delivery_option_11,798
