Feature,Importance
Provider_0,46
Provider_1,283
Provider_2,462
Provider_3,612
Provider_4,666
Provider_5,761
Provider_6,747
Provider_7,749
Provider_8,752
Provider_9,766
Provider_10,821
Provider_11,836
Purchasing_Organization_0,46
Purchasing_Organization_1,360
Purchasing_Organization_2,447
Purchasing_Organization_3,325
Purchasing_Organization_4,381
Purchasing_Group_0,86
Purchasing_Group_1,679
Purchasing_Group_2,720
Purchasing_Group_3,825
Purchasing_Group_4,880
Purchasing_Group_5,760
Purchasing_Group_6,817
Purchasing_Group_7,817
Purchasing_Group_8,781
Company_Code_0,2
Company_Code_1,389
Company_Code_2,372
Company_Code_3,411
Company_Code_4,488
Duration,8896
ETC_Delivery,9920
Sum,15882
Position_Count,8570
Handlers_7,3727
Handlers_15,2073
Handlers_30,1906
Order_Approval_1,1311
Order_Approval_2,712
Order_Approval_3,721
Change_Delivery_Date_7,2919
Change_Delivery_Date_15,314
Change_Delivery_Date_30,212
Cancel_Complete_Release,585
Changes_After_Approvals,9415
Days_Between_0_1,5625
day_sin,3591
day_cos,2576
month1_sin,2283
month1_cos,2253
month2_sin,3228
month2_cos,3286
month3_sin,1957
month3_cos,2038
Provider_Purchaser_0,201
Provider_Purchaser_1,445
Provider_Purchaser_2,599
Provider_Purchaser_3,598
Provider_Purchaser_4,741
Provider_Purchaser_5,730
Provider_Purchaser_6,715
Provider_Purchaser_7,783
Provider_Purchaser_8,851
Provider_Purchaser_9,786
Provider_Purchaser_10,738
Provider_Purchaser_11,806
Provider_Delivery_option_0,264
Provider_Delivery_option_1,385
Provider_Delivery_option_2,538
Provider_Delivery_option_3,618
Provider_Delivery_option_4,674
Provider_Delivery_option_5,762
Provider_Delivery_option_6,748
Provider_Delivery_option_7,786
Provider_Delivery_option_8,755
Provider_Delivery_option_9,720
Provider_Delivery_option_10,757
Provider_Delivery_option_11,782
